"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"9 years"	"9"	"Male"	"M"	"White"	"2106-3"	28	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"10 years"	"10"	"Female"	"F"	"White"	"2106-3"	17	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"10 years"	"10"	"Male"	"M"	"White"	"2106-3"	30	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"11 years"	"11"	"Female"	"F"	"White"	"2106-3"	22	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"11 years"	"11"	"Male"	"M"	"White"	"2106-3"	37	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"12 years"	"12"	"Female"	"F"	"White"	"2106-3"	32	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"12 years"	"12"	"Male"	"M"	"White"	"2106-3"	34	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"13 years"	"13"	"Female"	"F"	"White"	"2106-3"	43	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"13 years"	"13"	"Male"	"M"	"White"	"2106-3"	54	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"14 years"	"14"	"Female"	"F"	"White"	"2106-3"	44	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"14 years"	"14"	"Male"	"M"	"White"	"2106-3"	76	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15 years"	"15"	"Female"	"F"	"White"	"2106-3"	52	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15 years"	"15"	"Male"	"M"	"White"	"2106-3"	78	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"16 years"	"16"	"Female"	"F"	"White"	"2106-3"	78	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"16 years"	"16"	"Male"	"M"	"White"	"2106-3"	141	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"17 years"	"17"	"Female"	"F"	"White"	"2106-3"	80	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"17 years"	"17"	"Male"	"M"	"White"	"2106-3"	187	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"18 years"	"18"	"Female"	"F"	"White"	"2106-3"	83	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"18 years"	"18"	"Male"	"M"	"White"	"2106-3"	295	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"19 years"	"19"	"Female"	"F"	"White"	"2106-3"	118	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"19 years"	"19"	"Male"	"M"	"White"	"2106-3"	321	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"20 years"	"20"	"Female"	"F"	"White"	"2106-3"	99	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"20 years"	"20"	"Male"	"M"	"White"	"2106-3"	369	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"21 years"	"21"	"Female"	"F"	"White"	"2106-3"	153	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"21 years"	"21"	"Male"	"M"	"White"	"2106-3"	410	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"22 years"	"22"	"Female"	"F"	"White"	"2106-3"	142	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"22 years"	"22"	"Male"	"M"	"White"	"2106-3"	419	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"23 years"	"23"	"Female"	"F"	"White"	"2106-3"	154	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"23 years"	"23"	"Male"	"M"	"White"	"2106-3"	392	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"24 years"	"24"	"Female"	"F"	"White"	"2106-3"	142	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"24 years"	"24"	"Male"	"M"	"White"	"2106-3"	440	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25 years"	"25"	"Female"	"F"	"White"	"2106-3"	155	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25 years"	"25"	"Male"	"M"	"White"	"2106-3"	413	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"26 years"	"26"	"Female"	"F"	"White"	"2106-3"	159	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"26 years"	"26"	"Male"	"M"	"White"	"2106-3"	397	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"27 years"	"27"	"Female"	"F"	"White"	"2106-3"	166	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"27 years"	"27"	"Male"	"M"	"White"	"2106-3"	414	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"28 years"	"28"	"Female"	"F"	"White"	"2106-3"	177	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"28 years"	"28"	"Male"	"M"	"White"	"2106-3"	458	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"29 years"	"29"	"Female"	"F"	"White"	"2106-3"	174	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"29 years"	"29"	"Male"	"M"	"White"	"2106-3"	469	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"30 years"	"30"	"Female"	"F"	"White"	"2106-3"	169	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"30 years"	"30"	"Male"	"M"	"White"	"2106-3"	474	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"31 years"	"31"	"Female"	"F"	"White"	"2106-3"	187	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"31 years"	"31"	"Male"	"M"	"White"	"2106-3"	432	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"32 years"	"32"	"Female"	"F"	"White"	"2106-3"	211	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"32 years"	"32"	"Male"	"M"	"White"	"2106-3"	473	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"33 years"	"33"	"Female"	"F"	"White"	"2106-3"	241	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"33 years"	"33"	"Male"	"M"	"White"	"2106-3"	534	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"34 years"	"34"	"Female"	"F"	"White"	"2106-3"	263	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"34 years"	"34"	"Male"	"M"	"White"	"2106-3"	499	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35 years"	"35"	"Female"	"F"	"White"	"2106-3"	268	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35 years"	"35"	"Male"	"M"	"White"	"2106-3"	577	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"36 years"	"36"	"Female"	"F"	"White"	"2106-3"	294	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"36 years"	"36"	"Male"	"M"	"White"	"2106-3"	618	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"37 years"	"37"	"Female"	"F"	"White"	"2106-3"	341	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"37 years"	"37"	"Male"	"M"	"White"	"2106-3"	682	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"38 years"	"38"	"Female"	"F"	"White"	"2106-3"	359	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"38 years"	"38"	"Male"	"M"	"White"	"2106-3"	709	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"39 years"	"39"	"Female"	"F"	"White"	"2106-3"	411	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"39 years"	"39"	"Male"	"M"	"White"	"2106-3"	761	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"40 years"	"40"	"Female"	"F"	"White"	"2106-3"	480	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"40 years"	"40"	"Male"	"M"	"White"	"2106-3"	802	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"41 years"	"41"	"Female"	"F"	"White"	"2106-3"	497	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"41 years"	"41"	"Male"	"M"	"White"	"2106-3"	832	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"42 years"	"42"	"Female"	"F"	"White"	"2106-3"	528	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"42 years"	"42"	"Male"	"M"	"White"	"2106-3"	957	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"43 years"	"43"	"Female"	"F"	"White"	"2106-3"	561	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"43 years"	"43"	"Male"	"M"	"White"	"2106-3"	1093	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"44 years"	"44"	"Female"	"F"	"White"	"2106-3"	685	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"44 years"	"44"	"Male"	"M"	"White"	"2106-3"	1208	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45 years"	"45"	"Female"	"F"	"White"	"2106-3"	749	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45 years"	"45"	"Male"	"M"	"White"	"2106-3"	1316	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"46 years"	"46"	"Female"	"F"	"White"	"2106-3"	815	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"46 years"	"46"	"Male"	"M"	"White"	"2106-3"	1406	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"47 years"	"47"	"Female"	"F"	"White"	"2106-3"	823	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	1506	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"48 years"	"48"	"Female"	"F"	"White"	"2106-3"	991	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	1668	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"49 years"	"49"	"Female"	"F"	"White"	"2106-3"	1056	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	1819	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"50 years"	"50"	"Female"	"F"	"White"	"2106-3"	1121	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	1935	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"51 years"	"51"	"Female"	"F"	"White"	"2106-3"	1211	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	1997	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"52 years"	"52"	"Female"	"F"	"White"	"2106-3"	1289	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	2169	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"53 years"	"53"	"Female"	"F"	"White"	"2106-3"	1354	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	2292	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"54 years"	"54"	"Female"	"F"	"White"	"2106-3"	1484	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	2435	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"55 years"	"55"	"Female"	"F"	"White"	"2106-3"	1519	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	2513	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"56 years"	"56"	"Female"	"F"	"White"	"2106-3"	1688	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	2685	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"57 years"	"57"	"Female"	"F"	"White"	"2106-3"	1795	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	2835	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"58 years"	"58"	"Female"	"F"	"White"	"2106-3"	1894	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	2946	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"59 years"	"59"	"Female"	"F"	"White"	"2106-3"	1972	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	3031	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"60 years"	"60"	"Female"	"F"	"White"	"2106-3"	2053	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	3185	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	2110	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	3296	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"62 years"	"62"	"Female"	"F"	"White"	"2106-3"	2233	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"62 years"	"62"	"Male"	"M"	"White"	"2106-3"	3358	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"63 years"	"63"	"Female"	"F"	"White"	"2106-3"	2400	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"63 years"	"63"	"Male"	"M"	"White"	"2106-3"	3473	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"64 years"	"64"	"Female"	"F"	"White"	"2106-3"	2526	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"64 years"	"64"	"Male"	"M"	"White"	"2106-3"	3584	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"65 years"	"65"	"Female"	"F"	"White"	"2106-3"	2628	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"65 years"	"65"	"Male"	"M"	"White"	"2106-3"	3535	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"66 years"	"66"	"Female"	"F"	"White"	"2106-3"	2674	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"66 years"	"66"	"Male"	"M"	"White"	"2106-3"	3773	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"67 years"	"67"	"Female"	"F"	"White"	"2106-3"	2924	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"67 years"	"67"	"Male"	"M"	"White"	"2106-3"	3837	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"68 years"	"68"	"Female"	"F"	"White"	"2106-3"	3162	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"68 years"	"68"	"Male"	"M"	"White"	"2106-3"	4190	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"69 years"	"69"	"Female"	"F"	"White"	"2106-3"	3216	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"69 years"	"69"	"Male"	"M"	"White"	"2106-3"	4242	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"70 years"	"70"	"Female"	"F"	"White"	"2106-3"	3515	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"70 years"	"70"	"Male"	"M"	"White"	"2106-3"	4546	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"71 years"	"71"	"Female"	"F"	"White"	"2106-3"	3699	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"71 years"	"71"	"Male"	"M"	"White"	"2106-3"	4836	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"72 years"	"72"	"Female"	"F"	"White"	"2106-3"	4065	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"72 years"	"72"	"Male"	"M"	"White"	"2106-3"	4906	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"73 years"	"73"	"Female"	"F"	"White"	"2106-3"	4268	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"73 years"	"73"	"Male"	"M"	"White"	"2106-3"	5133	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"74 years"	"74"	"Female"	"F"	"White"	"2106-3"	4690	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"74 years"	"74"	"Male"	"M"	"White"	"2106-3"	5530	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"75 years"	"75"	"Female"	"F"	"White"	"2106-3"	5039	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"75 years"	"75"	"Male"	"M"	"White"	"2106-3"	5767	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"76 years"	"76"	"Female"	"F"	"White"	"2106-3"	5375	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"76 years"	"76"	"Male"	"M"	"White"	"2106-3"	6069	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"77 years"	"77"	"Female"	"F"	"White"	"2106-3"	6043	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"77 years"	"77"	"Male"	"M"	"White"	"2106-3"	6337	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"78 years"	"78"	"Female"	"F"	"White"	"2106-3"	6431	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"78 years"	"78"	"Male"	"M"	"White"	"2106-3"	6690	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"79 years"	"79"	"Female"	"F"	"White"	"2106-3"	6959	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"79 years"	"79"	"Male"	"M"	"White"	"2106-3"	7160	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"80 years"	"80"	"Female"	"F"	"White"	"2106-3"	7629	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"80 years"	"80"	"Male"	"M"	"White"	"2106-3"	7284	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"81 years"	"81"	"Female"	"F"	"White"	"2106-3"	8212	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"81 years"	"81"	"Male"	"M"	"White"	"2106-3"	7691	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"82 years"	"82"	"Female"	"F"	"White"	"2106-3"	8931	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"82 years"	"82"	"Male"	"M"	"White"	"2106-3"	8144	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"83 years"	"83"	"Female"	"F"	"White"	"2106-3"	9420	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"83 years"	"83"	"Male"	"M"	"White"	"2106-3"	8165	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"84 years"	"84"	"Female"	"F"	"White"	"2106-3"	10078	Not Applicable	Not Applicable
